Description,Price,Bedrooms,Bathrooms,Parking Spaces,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Community,City,Province,Postal Code
2 Bedrooms 1 Bathrooms Single Level Apartment,69000.0,2,1,1,715.0,0.02,1963,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 202 10615 114 Street Nw,Queen Mary Park,Edmonton,Alberta,T5H 3J8
1 Bedrooms 0 Bathrooms Single Level Apartment,189000.0,1,0,0,755.0,0.0,2008,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 211 11633 105 Avenue Nw,Queen Mary Park,Edmonton,Alberta,T5H 0L9
2 Bedrooms 2 Bathrooms Single Level Apartment,236600.0,2,2,0,1074.0,0.0,1993,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 202 11915 106 Avenue Nw,Queen Mary Park,Edmonton,Alberta,T5H 0S2
2 Bedrooms 2 Bathrooms Single Level Apartment,154900.0,2,2,0,1129.0,0.02,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 319 4304 139 Avenue Nw,Clareview Town Centre,Edmonton,Alberta,T5Y 0H6
2 Bedrooms 2 Bathrooms Single Level Apartment,198500.0,2,2,0,826.0,0.0,2008,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 114 10333 112 Street Nw,Oliver,Edmonton,Alberta,T5K 0B4
1 Bedrooms 1 Bathrooms Single Level Apartment,59900.0,1,1,0,646.0,0.0,1967,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 108 10644 113 Street Nw Nw,Queen Mary Park,Edmonton,Alberta,T5H 3H6
1 Bedrooms 1 Bathrooms Single Level Apartment,100000.0,1,1,0,672.0,0.0,1968,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 10610 79 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 1S1
1 Bedrooms 1 Bathrooms Single Level Apartment,205000.0,1,1,1,688.0,0.0,2011,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 302 10140 150 Street Nw,Canora,Edmonton,Alberta,T5P 1P1
2 Bedrooms 2 Bathrooms Single Level Apartment,169000.0,2,2,0,859.0,0.16,2005,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 104 13111 140 Avenue Nw,Pembina,Edmonton,Alberta,T6V 0B1
3 Bedrooms 2 Bathrooms Single Level Apartment,254900.0,3,2,1,1378.0,0.02,1961,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 201 12207 Jasper Avenue Nw,Oliver,Edmonton,Alberta,T5N 3K2
2 Bedrooms 2 Bathrooms Single Level Apartment,149900.0,2,2,0,854.0,0.0,2005,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 2108 11214 80 Street Nw,Cromdale,Edmonton,Alberta,T5B 4X9
2 Bedrooms 2 Bathrooms Single Level Apartment,314900.0,2,2,1,1399.0,0.03,2000,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 404 8942 156 Street Nw,Meadowlark Park,Edmonton,Alberta,T5R 5Z5
2 Bedrooms 2 Bathrooms Single Level Apartment,168000.0,2,2,1,815.0,0.01,2004,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 313 17011 67 Avenue Nw,Callingwood South,Edmonton,Alberta,T5T 6Y6
1 Bedrooms 1 Bathrooms Single Level Apartment,259900.0,1,1,1,706.0,0.02,2014,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 105 10606 84 Avenue Nw,Strathcona,Edmonton,Alberta,T6E 2H6
2 Bedrooms 3 Bathrooms Single Level Apartment,535000.0,2,3,0,2134.0,0.0,1978,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 305 8707 107 Street Nw,Strathcona,Edmonton,Alberta,T6E 5J5
2 Bedrooms 2 Bathrooms Single Level Apartment,149900.0,2,2,1,898.0,0.0,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 412 13635 34 Street Nw,Belmont,Edmonton,Alberta,T5A 0C4
1 Bedrooms 1 Bathrooms Single Level Apartment,59000.0,1,1,0,592.0,0.0,1982,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 309 6504 129 Avenue Nw,Belvedere,Edmonton,Alberta,T5A 0G3
1 Bedrooms 1 Bathrooms Single Level Apartment,205000.0,1,1,0,681.0,0.0,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,#432 10121 80 Avenue Nw,Ritchie,Edmonton,Alberta,T6E 0B9
2 Bedrooms 2 Bathrooms Single Level Apartment,310000.0,2,2,0,1389.0,0.03,1992,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 320 6220 Fulton Road Nw,Fulton Place,Edmonton,Alberta,T6A 3T4
2 Bedrooms 1 Bathrooms Single Level Apartment,234500.0,2,1,1,947.0,0.0,2002,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 103 9503 101 Avenue Nw,Riverdale,Edmonton,Alberta,T5H 4R1
2 Bedrooms 3 Bathrooms Loft,549900.0,2,3,0,1605.0,0.0,1948,Condo / Townhouse,Lowrise Apartment,Loft,# 404 10728 82 Avenue Nw,Garneau,Edmonton,Alberta,T6E 6P5
1 Bedrooms 1 Bathrooms Single Level Apartment,234000.0,1,1,0,663.0,0.0,2018,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 408 560 Griesbach Parade Nw,Griesbach,Edmonton,Alberta,T5E 6X1
1 Bedrooms 1 Bathrooms Single Level Apartment,132898.0,1,1,0,634.0,0.0,1993,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 241 10636 120 Street Nw,Queen Mary Park,Edmonton,Alberta,T5H 4L5
1 Bedrooms 2 Bathrooms Loft,389900.0,1,2,0,1392.0,0.02,1952,Condo / Townhouse,Lowrise Apartment,Loft,# 204 11633 105 Avenue Nw,Queen Mary Park,Edmonton,Alberta,T5H 0L9
1 Bedrooms 1 Bathrooms Single Level Apartment,86940.0,1,1,0,901.0,0.02,1979,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 202 10917 109 Street Nw,Central Mcdougall,Edmonton,Alberta,T5H 3C2
2 Bedrooms 2 Bathrooms Single Level Apartment,184900.0,2,2,0,1025.0,0.0,1997,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 106 8215 84 Avenue Nw,Idylwylde,Edmonton,Alberta,T6C 4R2
1 Bedrooms 2 Bathrooms Single Level Apartment,117500.0,1,2,1,773.0,0.02,2013,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,Nw,Canon Ridge,Edmonton,Alberta,T5A 0X8
2 Bedrooms 1 Bathrooms Single Level Apartment,119900.0,2,1,0,760.0,0.02,1991,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 11807 101 Street Nw,Westwood,Edmonton,Alberta,T5G 2B6
2 Bedrooms 1 Bathrooms Single Level Apartment,219000.0,2,1,0,784.0,0.01,2003,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 242 10403 122 Street Nw,Westmount,Edmonton,Alberta,T5N 4C1
2 Bedrooms 2 Bathrooms Single Level Apartment,265000.0,2,2,0,909.0,0.02,2002,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 104 8536 106a Street Nw,Strathcona,Edmonton,Alberta,T6E 4J9
2 Bedrooms 2 Bathrooms Single Level Apartment,270000.0,2,2,2,1120.0,0.0,2002,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 115 9507 101 Avenue Nw,Riverdale,Edmonton,Alberta,T5H 4R1
2 Bedrooms 2 Bathrooms Penthouse,588000.0,2,2,0,1364.0,0.0,1948,Condo / Townhouse,Lowrise Apartment,Penthouse,# 503 10728 82 Avenue Nw,Garneau,Edmonton,Alberta,T6E 6P5
2 Bedrooms 1 Bathrooms Single Level Apartment,99900.0,2,1,0,737.0,0.0,1969,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 205 10720 127 Street Nw,Westmount,Edmonton,Alberta,T5M 0S3
1 Bedrooms 1 Bathrooms Single Level Apartment,64900.0,1,1,0,692.0,0.02,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 206 10835 114 Street Nw,Queen Mary Park,Edmonton,Alberta,T5H 3K3
1 Bedrooms 1 Bathrooms Single Level Apartment,134900.0,1,1,1,559.0,0.02,1967,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 4 9933 85 Avenue Nw,Strathcona,Edmonton,Alberta,T6E 2J7
2 Bedrooms 2 Bathrooms Single Level Apartment,215000.0,2,2,1,785.0,0.0,2009,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 402 11425 105 Avenue Nw,Queen Mary Park,Edmonton,Alberta,T5H 0C5
1 Bedrooms 2 Bathrooms Single Level Apartment,128800.0,1,2,0,917.0,0.01,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 221 8528 82 Avenue Nw,Bonnie Doon,Edmonton,Alberta,T6C 0Y8
1 Bedrooms 1 Bathrooms Single Level Apartment,75000.0,1,1,0,702.0,0.02,1980,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 301 10826 113 Street Nw,Queen Mary Park,Edmonton,Alberta,T5H 3J2
2 Bedrooms 1 Bathrooms Single Level Apartment,110000.0,2,1,1,632.0,0.03,1966,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 3 10904 159 Street Nw,Mayfield,Edmonton,Alberta,T5P 3C1
2 Bedrooms 2 Bathrooms Penthouse,344900.0,2,2,0,1023.0,0.01,2010,Condo / Townhouse,Lowrise Apartment,Penthouse,# 602 10518 113 Street Nw,Queen Mary Park,Edmonton,Alberta,T5H 3H5
1 Bedrooms 1 Bathrooms Single Level Apartment,99900.0,1,1,0,514.0,0.0,1963,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 205 10021 116 Street Nw,Oliver,Edmonton,Alberta,T5K 1V5
2 Bedrooms 2 Bathrooms Multi Level Apartment,167000.0,2,2,0,1028.0,0.0,1991,Condo / Townhouse,Lowrise Apartment,Multi Level Apartment,17151 94a Avenue Nw,Summerlea,Edmonton,Alberta,T5T 5Z9
2 Bedrooms 1 Bathrooms Single Level Apartment,75000.0,2,1,0,938.0,0.0,1973,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 202 10740 105 Street Nw,Central Mcdougall,Edmonton,Alberta,T5H 2X2
1 Bedrooms 1 Bathrooms Penthouse,398500.0,1,1,1,1143.0,0.01,1930,Condo / Townhouse,Lowrise Apartment,Penthouse,# 405 10169 104 Street Nw,Downtown,Edmonton,Alberta,T5J 1A5
2 Bedrooms 2 Bathrooms Single Level Apartment,247500.0,2,2,0,1325.0,0.0,2005,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 423 4831 104a Street Nw,Empire Park,Edmonton,Alberta,T6H 0R5
3 Bedrooms 1 Bathrooms Single Level Apartment,109900.0,3,1,1,931.0,0.0,1981,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 107 14808 26 Street Nw,Fraser,Edmonton,Alberta,T5Y 2G5
1 Bedrooms 2 Bathrooms Loft,798800.0,1,2,1,1900.0,0.01,2007,Condo / Townhouse,Lowrise Apartment,Loft,# 403 10154 103 Street Nw,Downtown,Edmonton,Alberta,T5J 0X7
2 Bedrooms 1 Bathrooms Single Level Apartment,219000.0,2,1,1,768.0,0.0,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 334 10121 80 Avenue Nw,Ritchie,Edmonton,Alberta,T6E 0B9
2 Bedrooms 2 Bathrooms Single Level Apartment,279900.0,2,2,0,1029.0,0.02,2003,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 307 9811 96a Street Nw,Cloverdale,Edmonton,Alberta,T6A 4A4
2 Bedrooms 2 Bathrooms Single Level Apartment,179900.0,2,2,0,883.0,0.02,2013,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 115 2203 44 Avenue Nw,Larkspur,Edmonton,Alberta,T6T 0T1
2 Bedrooms 2 Bathrooms Single Level Apartment,110000.0,2,2,0,972.0,0.0,1979,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 312 2904 139 Avenue Nw,Hairsine,Edmonton,Alberta,T5Y 1P7
2 Bedrooms 1 Bathrooms Multi Level Apartment,198800.0,2,1,1,825.0,0.0,1970,Condo / Townhouse,Lowrise Apartment,Multi Level Apartment,# 19 10324 119 Street Nw,Oliver,Edmonton,Alberta,T5K 1Z6
1 Bedrooms 1 Bathrooms Single Level Apartment,89900.0,1,1,1,559.0,0.01,1983,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 404 9312 104 Avenue Nw,Boyle Street,Edmonton,Alberta,T5H 4G7
2 Bedrooms 2 Bathrooms Single Level Apartment,334900.0,2,2,0,1185.0,0.02,2002,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 509 9503 101 Avenue Nw,Riverdale,Edmonton,Alberta,T5H 4R1
1 Bedrooms 1 Bathrooms Single Level Apartment,134900.0,1,1,0,935.0,0.0,1981,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 201 10743 107 Street Nw,Central Mcdougall,Edmonton,Alberta,T5H 2Y9
2 Bedrooms 2 Bathrooms Single Level Apartment,169000.0,2,2,0,796.0,0.02,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 341 301 Clareview Station Drive Nw,Clareview Town Centre,Edmonton,Alberta,T5Y 0J4
2 Bedrooms 1 Bathrooms Single Level Apartment,209900.0,2,1,2,906.0,0.0,2003,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 156 10403 122 Street Nw,Westmount,Edmonton,Alberta,T5N 4C1
2 Bedrooms 1 Bathrooms Penthouse,240000.0,2,1,0,721.0,0.01,1968,Condo / Townhouse,Lowrise Apartment,Penthouse,# 604 10140 115 Street Nw,Oliver,Edmonton,Alberta,T5K 1T5
2 Bedrooms 2 Bathrooms Single Level Apartment,399000.0,2,2,2,1313.0,0.0,2003,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 403 9819 96a Street Nw,Cloverdale,Edmonton,Alberta,T6A 4A2
2 Bedrooms 2 Bathrooms Penthouse,249900.0,2,2,0,1228.0,0.01,1995,Condo / Townhouse,Lowrise Apartment,Penthouse,# 409 9640 105 Street Nw,Rossdale,Edmonton,Alberta,T5K 0Z7
2 Bedrooms 2 Bathrooms Single Level Apartment,139000.0,2,2,0,890.0,0.0,2007,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 107 13625 34 Street Nw,Belmont,Edmonton,Alberta,T5A 0E3
1 Bedrooms 1 Bathrooms Single Level Apartment,59900.0,1,1,0,582.0,0.0,1960,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 206 9142 Jasper Avenue Nw,Boyle Street,Edmonton,Alberta,T5H 3S9
2 Bedrooms 1 Bathrooms Single Level Apartment,269500.0,2,1,1,908.0,0.01,2000,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 406 11025 83 Avenue Nw,Garneau,Edmonton,Alberta,T6G 2V5
2 Bedrooms 2 Bathrooms Single Level Apartment,189900.0,2,2,0,1024.0,0.0,2008,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 318 9820 165 Street Nw,Glenwood,Edmonton,Alberta,T5P 0N3
2 Bedrooms 1 Bathrooms Single Level Apartment,134900.0,2,1,0,841.0,0.01,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 805 10015 119 Street Nw,Oliver,Edmonton,Alberta,T5K 1Y7
1 Bedrooms 1 Bathrooms Single Level Apartment,114900.0,1,1,0,611.0,0.0,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 407 10145 113 Street Nw,Oliver,Edmonton,Alberta,T5K 1P1
2 Bedrooms 2 Bathrooms Single Level Apartment,365000.0,2,2,0,1536.0,0.0,1982,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 42 10172 118 Street Nw,Oliver,Edmonton,Alberta,T5K 1Y4
1 Bedrooms 1 Bathrooms Single Level Apartment,60000.0,1,1,0,783.0,0.02,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 103 10725 111 Street Nw,Queen Mary Park,Edmonton,Alberta,T5H 3G2
3 Bedrooms 2 Bathrooms Bungalow,364900.0,3,2,0,726.0,0.08,1949,Condo / Townhouse,Half Duplex,Bungalow,12410 120 Avenue Nw,Prince Charles,Edmonton,Alberta,T5L 2P7
3 Bedrooms 1 Bathrooms Bungalow,188000.0,3,1,0,888.0,0.0,1973,Single Family,Half Duplex,Bungalow,11510 32 Street Nw,Rundle Heights,Edmonton,Alberta,T5W 4R9
2 Bedrooms 1 Bathrooms Single Level Apartment,78900.0,2,1,0,719.0,0.02,1969,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,Nw,Queen Mary Park,Edmonton,Alberta,T5H 3E9
2 Bedrooms 2 Bathrooms Single Level Apartment,269900.0,2,2,2,910.0,0.02,2010,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 114 10530 56 Avenue Nw,Pleasantview,Edmonton,Alberta,T6H 0X7
3 Bedrooms 2 Bathrooms Bungalow,230000.0,3,2,0,1044.0,0.08,1979,Condo / Townhouse,Half Duplex,Bungalow,13881a 114 Street Nw,Carlisle,Edmonton,Alberta,T5X 4A1
2 Bedrooms 2 Bathrooms Single Level Apartment,299000.0,2,2,1,1034.0,0.0,2003,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 116 9008 99 Avenue Nw,Riverdale,Edmonton,Alberta,T5H 4M6
3 Bedrooms 2 Bathrooms Bungalow,269888.0,3,2,0,1018.0,0.0,1967,Single Family,Half Duplex,Bungalow,13517 119 Street Nw,Kensington,Edmonton,Alberta,T5E 5M9
2 Bedrooms 3 Bathrooms Bungalow,650000.0,2,3,0,1812.0,0.0,2006,Condo / Townhouse,Half Duplex,Bungalow,# 31 1225 Wanyandi Road Nw,Oleskiw,Edmonton,Alberta,T6M 2W7
1 Bedrooms 1 Bathrooms Loft,559900.0,1,1,0,1720.0,0.0,2005,Condo / Townhouse,Lowrise Apartment,Loft,# 144 10309 107 Nw,Downtown,Edmonton,Alberta,T5J 1K3
4 Bedrooms 2 Bathrooms Bungalow,249900.0,4,2,2,986.0,0.08,1971,Single Family,Half Duplex,Bungalow,12716 89 Street Nw,Killarney,Edmonton,Alberta,T5E 3J6
2 Bedrooms 2 Bathrooms Single Level Apartment,179000.0,2,2,0,884.0,0.0,1978,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 8149 111 Street Nw,Garneau,Edmonton,Alberta,T6G 2P1
4 Bedrooms 2 Bathrooms Bungalow,234900.0,4,2,0,994.0,0.0,1963,Single Family,Half Duplex,Bungalow,12012 49 Street Nw,Beacon Heights,Edmonton,Alberta,T5W 3A4
2 Bedrooms 2 Bathrooms Penthouse,419999.0,2,2,0,1386.0,0.01,1993,Condo / Townhouse,Lowrise Apartment,Penthouse,# 500 11716 100 Avenue Nw,Oliver,Edmonton,Alberta,T5K 2G3
2 Bedrooms 2 Bathrooms Single Level Apartment,295000.0,2,2,2,1019.0,0.0,1998,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 205 7905 96 Street Nw,Ritchie,Edmonton,Alberta,T6C 4R3
1 Bedrooms 2 Bathrooms Loft,399900.0,1,2,0,1188.0,0.0,2005,Condo / Townhouse,Lowrise Apartment,Loft,# 309 10309 107 Street Nw,Downtown,Edmonton,Alberta,T5J 1K3
1 Bedrooms 1 Bathrooms Multi Level Apartment,69900.0,1,1,0,704.0,0.02,1971,Condo / Townhouse,Lowrise Apartment,Multi Level Apartment,Nw,Inglewood,Edmonton,Alberta,T5M 3M5
3 Bedrooms 2 Bathrooms Bungalow,279900.0,3,2,0,979.0,0.0,1975,Single Family,Half Duplex,Bungalow,10333 153 Street Nw,Canora,Edmonton,Alberta,T5P 2B7
5 Bedrooms 2 Bathrooms Bungalow,259900.0,5,2,0,986.0,0.08,1975,Single Family,Half Duplex,Bungalow,10442 152 Street Nw,Canora,Edmonton,Alberta,T5P 1Y6
3 Bedrooms 3 Bathrooms Loft,699000.0,3,3,1,1905.0,0.01,1913,Condo / Townhouse,Lowrise Apartment,Loft,# 503 10249 104 Street Nw,Downtown,Edmonton,Alberta,T5J 1B1
1 Bedrooms 1 Bathrooms Single Level Apartment,79000.0,1,1,1,493.0,0.0,1968,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 10 10812 115 Street Nw,Queen Mary Park,Edmonton,Alberta,T5H 3L1
2 Bedrooms 2 Bathrooms Single Level Apartment,189000.0,2,2,0,903.0,0.02,2008,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 439 1180 Hyndman Road Nw,Canon Ridge,Edmonton,Alberta,T5A 0P8
2 Bedrooms 1 Bathrooms Single Level Apartment,159800.0,2,1,0,882.0,0.02,1996,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 108 13450 114 Avenue Nw,Woodcroft,Edmonton,Alberta,T5M 4C4
2 Bedrooms 1 Bathrooms Single Level Apartment,150000.0,2,1,0,757.0,0.0,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 204 11827 105 Street Nw,Westwood,Edmonton,Alberta,T5G 2N1
3 Bedrooms 1 Bathrooms Bungalow,259900.0,3,1,2,936.0,0.08,1965,Single Family,Half Duplex,Bungalow,13441 119 Street Nw,Kensington,Edmonton,Alberta,T5E 5M9
3 Bedrooms 2 Bathrooms Bungalow,279900.0,3,2,2,906.0,0.09,1962,Single Family,Half Duplex,Bungalow,5343 106 Street Nw,Pleasantview,Edmonton,Alberta,T6H 2T2
1 Bedrooms 1 Bathrooms Single Level Apartment,72500.0,1,1,1,690.0,0.01,1972,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 10615 110 Street Nw,Queen Mary Park,Edmonton,Alberta,T5H 3C7
2 Bedrooms 2 Bathrooms Single Level Apartment,230000.0,2,2,1,802.0,0.02,2016,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 420 3670 139 Avenue Nw,Clareview Town Centre,Edmonton,Alberta,T5Y 3N5
4 Bedrooms 3 Bathrooms Bungalow,291000.0,4,3,2,1175.0,0.11,1990,Condo / Townhouse,Half Duplex,Bungalow,# 61 9704 165 Street Nw,Glenwood,Edmonton,Alberta,T5P 4W4
3 Bedrooms 2 Bathrooms Bi-Level,215000.0,3,2,0,767.0,0.08,1981,Single Family,Half Duplex,Bi-Level,4639 126 Avenue Nw,Homesteader,Edmonton,Alberta,T5A 4L1
4 Bedrooms 2 Bathrooms Bungalow,279900.0,4,2,0,962.0,0.1,1975,Single Family,Half Duplex,Bungalow,13127 30 Street Nw,Belmont,Edmonton,Alberta,T5A 2Z9
1 Bedrooms 1 Bathrooms Single Level Apartment,174900.0,1,1,0,680.0,0.0,1997,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 336 13441 127 Street Nw Nw,Kensington,Edmonton,Alberta,T5L 5B6
2 Bedrooms 2 Bathrooms Single Level Apartment,328800.0,2,2,2,1157.0,0.0,2004,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 127 9008 99 Avenue Nw,Riverdale,Edmonton,Alberta,T5H 4M6
2 Bedrooms 1 Bathrooms Single Level Apartment,64300.0,2,1,0,905.0,0.0,1975,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 103 10023 164 Street Nw,Glenwood,Edmonton,Alberta,T5P 4L4
5 Bedrooms 1 Bathrooms Bi-Level,364000.0,5,1,0,1100.0,0.09,2011,Single Family,Half Duplex,Bi-Level,12017 86 Street Nw,Eastwood,Edmonton,Alberta,T5B 3K5
2 Bedrooms 1 Bathrooms Single Level Apartment,209000.0,2,1,0,766.0,0.0,1994,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 10827 85 Avenue Nw,Garneau,Edmonton,Alberta,T6E 2L2
2 Bedrooms 1 Bathrooms Single Level Apartment,86000.0,2,1,0,751.0,0.0,1962,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 19 6113 98 Avenue Nw,Ottewell,Edmonton,Alberta,T6A 0A3
2 Bedrooms 2 Bathrooms Multi Level Apartment,169900.0,2,2,0,745.0,0.0,2009,Condo / Townhouse,Lowrise Apartment,Multi Level Apartment,# 1 11811 106 Street Nw,Westwood,Edmonton,Alberta,T5G 2R2
2 Bedrooms 2 Bathrooms Penthouse,335000.0,2,2,1,915.0,0.01,2000,Condo / Townhouse,Lowrise Apartment,Penthouse,# 402 8909 100 Street Nw,Strathcona,Edmonton,Alberta,T6E 6T4
2 Bedrooms 2 Bathrooms Single Level Apartment,278800.0,2,2,0,1037.0,0.0,2002,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 210 9503 101 Avenue Nw,Riverdale,Edmonton,Alberta,T5H 4R1
3 Bedrooms 3 Bathrooms Bi-Level,324000.0,3,3,2,909.0,0.05,1998,Condo / Townhouse,Half Duplex,Bi-Level,7228 106 Street Nw,Queen Alexandra,Edmonton,Alberta,T6E 4V6
3 Bedrooms 3 Bathrooms Bungalow,419900.0,3,3,0,1008.0,0.0,1992,Condo / Townhouse,Half Duplex,Bungalow,35 Jackson Road Nw,Jackson Heights,Edmonton,Alberta,T6L 6S7
2 Bedrooms 2 Bathrooms Single Level Apartment,199900.0,2,2,0,974.0,0.0,2014,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 201 14808 125 Street Nw,Baranow,Edmonton,Alberta,T5X 0G1
3 Bedrooms 2 Bathrooms Bi-Level,199000.0,3,2,2,840.0,0.07,1969,Single Family,Half Duplex,Bi-Level,13208 91 Street Nw,Glengarry,Edmonton,Alberta,T5E 3P7
2 Bedrooms 2 Bathrooms Single Level Apartment,209800.0,2,2,0,887.0,0.0,2014,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 117 12660 142 Avenue Nw,Baranow,Edmonton,Alberta,T5X 0J5
4 Bedrooms 2 Bathrooms Bungalow,249900.0,4,2,0,923.0,0.14,1979,Single Family,Half Duplex,Bungalow,14259 30 Street Nw,Hairsine,Edmonton,Alberta,T5Y 1M7
1 Bedrooms 1 Bathrooms Single Level Apartment,109900.0,1,1,1,562.0,0.01,1979,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 411 10139 117 Street Nw,Oliver,Edmonton,Alberta,T5K 2L3
2 Bedrooms 2 Bathrooms Single Level Apartment,114900.0,2,2,1,929.0,0.03,2004,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 201 11446 40 Avenue Nw Nw,Royal Gardens,Edmonton,Alberta,T6J 0R5
3 Bedrooms 1 Bathrooms Single Level Apartment,122300.0,3,1,0,842.0,0.0,2001,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 205 12710 127 Street Nw,Athlone,Edmonton,Alberta,T5L 1A5
2 Bedrooms 2 Bathrooms Penthouse,998000.0,2,2,2,2366.0,0.03,1941,Condo / Townhouse,Lowrise Apartment,Penthouse,# 401 10009 102 Avenue Nw,Downtown,Edmonton,Alberta,T5J 5B6
2 Bedrooms 3 Bathrooms Single Level Apartment,629900.0,2,3,0,1082.0,0.01,2016,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 302 11710 87 Avenue Nw,Windsor Park,Edmonton,Alberta,T6G 0Y3
2 Bedrooms 3 Bathrooms Penthouse,549900.0,2,3,2,1805.0,0.02,1948,Condo / Townhouse,Lowrise Apartment,Penthouse,# 506 10728 82 Avenue Nw,Garneau,Edmonton,Alberta,T6E 6P5
1 Bedrooms 1 Bathrooms Loft,294900.0,1,1,0,846.0,0.01,1922,Condo / Townhouse,Lowrise Apartment,Loft,# 403 10301 109 Street Nw,Downtown,Edmonton,Alberta,T5J 1N4
